Date,Open,High,Low,Close,Adj Close,Volume
2015-12-06,19.700001,20.000000,17.200001,18.900000,18.652130,256191
2015-12-13,18.500000,19.000000,17.100000,18.000000,17.763935,190506
2015-12-20,18.000000,19.000000,17.200001,18.700001,18.454756,29137
2015-12-27,18.700001,18.700001,17.299999,18.000000,17.763935,7244
2016-01-03,18.000000,20.900000,17.000000,20.500000,20.231148,710519
2016-01-10,20.500000,20.500000,17.600000,18.500000,18.257378,164548
2016-01-17,18.799999,19.500000,18.000000,19.000000,18.750820,182199
2016-01-24,18.900000,19.000000,17.299999,18.500000,18.257378,161683
2016-01-31,17.900000,18.500000,17.500000,18.000000,17.763935,99890
2016-02-07,17.799999,18.000000,15.300000,16.000000,15.790164,110371
2016-02-14,16.700001,18.100000,16.299999,18.100000,17.862623,117197
2016-02-21,18.100000,21.000000,18.100000,20.000000,19.737705,541513
2016-02-28,20.000000,20.700001,18.500000,19.400000,19.145573,298378
2016-03-06,18.900000,19.400000,18.400000,18.900000,18.652130,49330
2016-03-13,18.500000,19.100000,18.299999,18.500000,18.257378,86286
2016-03-20,18.500000,18.500000,17.799999,18.299999,18.059999,9016
2016-03-27,18.299999,18.299999,17.000000,18.000000,17.763935,48356
2016-04-03,18.000000,18.000000,17.200001,17.799999,17.566557,179768
2016-04-10,17.900000,18.500000,17.400000,17.400000,17.171803,78060
2016-04-17,17.700001,18.000000,17.000000,17.299999,17.073114,178659
2016-04-24,17.500000,19.900000,16.500000,19.900000,19.639015,1086641
2016-05-01,19.700001,24.700001,19.700001,22.600000,22.303608,209687
2016-05-08,22.500000,22.600000,20.900000,21.600000,21.316721,159335
2016-05-15,21.600000,22.000000,20.200001,22.000000,21.711475,46479
2016-05-22,21.799999,23.500000,21.500000,22.400000,22.106230,91333
2016-05-29,21.700001,23.000000,21.000000,22.700001,22.402296,71874
2016-06-05,22.700001,26.000000,21.799999,24.700001,24.376066,388222
2016-06-12,22.100000,25.600000,22.100000,24.000000,23.685246,49009
2016-06-19,24.400000,25.200001,21.100000,23.500000,23.191803,146805
2016-06-26,23.400000,24.799999,20.200001,24.000000,23.685246,197917
2016-07-03,22.799999,24.000000,22.700001,22.799999,22.500982,52503
2016-07-10,23.000000,24.500000,22.799999,23.500000,23.191803,56678
2016-07-17,23.900000,24.000000,22.600000,23.400000,23.093115,53568
2016-07-24,23.200001,23.500000,22.900000,23.299999,22.994425,23583
2016-07-31,23.299999,23.299999,22.000000,22.500000,22.204918,41637
2016-08-07,22.400000,25.000000,22.299999,24.799999,24.474754,110362
2016-08-14,24.799999,26.600000,24.000000,26.000000,25.659016,322118
2016-08-21,27.299999,28.600000,25.600000,28.000000,27.632788,147885
2016-08-28,29.200001,31.400000,27.600000,30.000000,29.606558,323255
2016-09-04,31.100000,34.000000,30.000000,32.599998,32.172459,492151
2016-09-11,33.000000,36.799999,30.100000,34.599998,34.146229,373988
2016-09-18,35.000000,38.500000,34.700001,37.599998,37.106884,568948
2016-09-25,37.599998,39.500000,35.799999,38.000000,37.501640,311826
2016-10-02,39.400002,44.000000,38.299999,43.500000,42.929508,433336
2016-10-09,44.500000,44.900002,39.500000,41.299999,40.758362,312812
2016-10-16,40.799999,41.799999,35.099998,40.599998,40.067539,501230
2016-10-23,41.700001,47.900002,39.200001,40.599998,40.067539,1098870
2016-10-30,40.900002,42.900002,38.599998,40.200001,39.672787,370572
2016-11-06,41.299999,49.799999,40.000000,49.799999,49.146885,593476
2016-11-13,50.500000,56.000000,47.599998,54.750000,54.031967,640316
2016-11-20,56.500000,62.000000,54.000000,59.000000,58.226231,700039
2016-11-27,60.000000,63.000000,56.250000,61.500000,60.693443,704079
2016-12-04,61.500000,65.750000,49.240501,58.250000,57.486065,968684
2016-12-11,59.250000,60.750000,52.500000,55.000000,54.278690,670963
2016-12-18,56.000000,56.000000,49.262901,53.500000,52.798363,669417
2016-12-25,53.500000,56.000000,52.750000,53.500000,52.798363,181502
2017-01-01,53.500000,57.000000,53.250000,53.500000,52.798363,366696
2017-01-08,55.000000,60.500000,54.000000,57.500000,56.745903,440528
2017-01-15,59.000000,62.000000,56.250000,62.000000,61.186886,430031
2017-01-22,63.500000,73.000000,60.250000,70.000000,69.081970,760259
2017-01-29,70.500000,72.750000,66.000000,70.000000,69.081970,239083
2017-02-05,70.000000,72.000000,68.000000,68.750000,67.848358,242314
2017-02-12,70.250000,70.250000,64.000000,65.250000,64.394264,318127
2017-02-19,65.000000,81.250000,65.000000,77.250000,76.236885,834562
2017-02-26,77.750000,82.000000,71.000000,81.500000,80.431145,1006217
2017-03-05,83.500000,87.000000,77.000000,85.500000,84.378693,886407
2017-03-12,86.000000,87.500000,75.250000,80.000000,78.950821,432892
2017-03-19,80.000000,81.000000,74.000000,75.250000,74.263115,394111
2017-03-26,75.250000,79.500000,71.000000,75.750000,74.756561,430426
2017-04-02,78.750000,79.000000,71.250000,78.000000,76.977051,248812
2017-04-09,78.500000,78.500000,73.000000,75.500000,74.509834,92597
2017-04-16,75.500000,77.000000,71.000000,73.250000,72.289345,185943
2017-04-23,74.000000,77.000000,68.750000,76.500000,75.496719,681096
2017-04-30,76.500000,83.000000,76.500000,80.500000,80.500000,508534
2017-05-07,82.000000,98.500000,81.500000,97.500000,97.500000,831485
2017-05-14,98.750000,104.000000,96.000000,101.000000,101.000000,473585
2017-05-21,102.000000,114.000000,101.000000,107.500000,107.500000,417223
2017-05-28,108.000000,123.000000,103.000000,119.000000,119.000000,496220
2017-06-04,119.000000,119.500000,109.500000,113.500000,113.500000,319263
2017-06-11,112.000000,114.000000,109.000000,110.000000,110.000000,313937
2017-06-18,112.000000,113.500000,108.000000,110.500000,110.500000,323219
2017-06-25,112.500000,114.000000,104.000000,113.500000,113.500000,320338
2017-07-02,114.500000,116.000000,109.000000,113.000000,113.000000,308002
2017-07-09,114.000000,117.500000,107.500000,108.000000,108.000000,300244
2017-07-16,108.500000,113.000000,101.500000,105.000000,105.000000,474187
2017-07-23,106.000000,109.000000,99.000000,107.000000,107.000000,511876
2017-07-30,108.500000,125.000000,105.500000,122.000000,122.000000,590573
2017-08-06,123.000000,129.000000,120.000000,121.500000,121.500000,628509
2017-08-13,124.000000,127.000000,108.500000,109.000000,109.000000,703604
2017-08-20,109.500000,113.000000,103.000000,107.500000,107.500000,467864
2017-08-27,107.000000,111.000000,105.500000,111.000000,111.000000,258708
2017-09-03,111.000000,115.500000,108.500000,108.500000,108.500000,284278
2017-09-10,108.500000,124.500000,108.500000,124.000000,124.000000,575273
2017-09-17,124.500000,135.000000,115.000000,122.500000,122.500000,748382
2017-09-24,124.000000,126.500000,116.000000,122.000000,122.000000,371358
2017-10-01,122.000000,123.500000,119.500000,121.500000,121.500000,186675
2017-10-08,121.500000,128.500000,118.000000,126.000000,126.000000,364392
2017-10-15,126.000000,127.000000,116.500000,119.500000,119.500000,361051
2017-10-22,119.000000,119.500000,105.000000,106.000000,106.000000,676078
2017-10-29,106.000000,119.000000,105.000000,113.500000,113.500000,412394
2017-11-05,112.500000,112.500000,85.250000,86.000000,86.000000,1082867
2017-11-12,87.500000,92.000000,77.000000,88.000000,88.000000,1143239
2017-11-19,87.500000,88.000000,76.500000,82.000000,82.000000,592514
2017-11-26,82.750000,87.250000,79.500000,84.500000,84.500000,379753
2017-12-03,84.000000,84.000000,79.000000,82.000000,82.000000,230811
2017-12-10,82.250000,87.750000,78.750000,87.750000,87.750000,367577
2017-12-17,88.000000,99.000000,86.500000,97.000000,97.000000,308876
2017-12-24,97.000000,105.500000,97.000000,105.000000,105.000000,194603
2017-12-31,105.000000,106.599998,88.800003,102.000000,102.000000,310703
2018-01-07,102.000000,107.000000,96.599998,99.000000,99.000000,372666
2018-01-14,101.000000,101.000000,91.400002,94.199997,94.199997,290244
2018-01-21,94.000000,95.000000,87.099998,91.000000,91.000000,293788
2018-01-28,92.599998,93.000000,86.500000,89.500000,89.500000,225044
2018-02-04,87.300003,94.000000,81.400002,86.699997,86.699997,309433
2018-02-11,90.099998,92.000000,86.099998,87.800003,87.800003,121690
2018-02-18,87.000000,89.900002,86.099998,89.900002,89.900002,171861
2018-02-25,90.000000,94.000000,84.199997,90.000000,90.000000,188509
2018-03-04,90.000000,101.599998,87.800003,94.099998,94.099998,284546
2018-03-11,95.000000,114.599998,93.099998,107.599998,107.599998,653192
2018-03-18,107.199997,108.400002,89.599998,94.000000,94.000000,649117
2018-03-25,94.599998,96.500000,90.800003,90.800003,90.800003,196544
2018-04-01,90.800003,91.099998,84.000000,85.099998,85.099998,287562
2018-04-08,85.500000,89.199997,82.000000,86.199997,86.199997,285757
2018-04-15,85.000000,89.800003,82.699997,83.000000,83.000000,284438
2018-04-22,83.000000,86.000000,65.000000,65.500000,65.500000,904883
2018-04-29,66.500000,71.300003,59.099998,69.900002,69.900002,621377
2018-05-06,70.800003,77.900002,68.000000,72.099998,72.099998,219394
2018-05-13,72.099998,81.099998,70.900002,79.900002,79.900002,234158
2018-05-20,79.900002,79.900002,75.699997,78.099998,78.099998,117744
2018-05-27,79.199997,80.000000,73.099998,79.699997,79.699997,195065
2018-06-03,79.699997,79.699997,69.000000,70.000000,70.000000,163471
2018-06-10,70.800003,88.000000,66.199997,82.000000,82.000000,440153
2018-06-17,84.099998,85.300003,79.400002,84.800003,84.800003,285638
2018-06-24,84.500000,93.000000,82.699997,89.400002,89.400002,402601
2018-07-01,85.000000,90.000000,85.000000,86.000000,86.000000,123473
2018-07-08,87.000000,87.400002,79.300003,85.000000,85.000000,166303
2018-07-15,85.000000,88.500000,82.099998,86.900002,86.900002,95196
2018-07-22,87.000000,91.800003,85.000000,90.000000,90.000000,141769
2018-07-29,90.000000,94.500000,89.000000,91.699997,91.699997,155868
2018-08-05,91.699997,92.599998,85.599998,86.400002,86.400002,85193
2018-08-12,87.199997,90.400002,82.400002,83.300003,83.300003,128077
2018-08-19,83.500000,85.800003,78.199997,78.599998,78.599998,144728
2018-08-26,80.000000,80.000000,74.000000,77.000000,77.000000,105540
2018-09-02,76.000000,79.000000,74.400002,74.900002,74.900002,88694
2018-09-09,75.000000,77.599998,71.000000,72.000000,72.000000,164237
2018-09-16,71.699997,73.800003,68.599998,70.000000,70.000000,116117
2018-09-23,70.000000,70.699997,65.800003,67.400002,67.400002,67493
2018-09-30,63.400002,68.000000,63.299999,66.099998,66.099998,92586
2018-10-07,67.699997,67.699997,53.700001,61.700001,61.700001,155572
2018-10-14,63.000000,63.799999,55.299999,58.000000,58.000000,131919
2018-10-21,57.400002,61.599998,45.299999,46.549999,46.549999,647980
2018-10-28,48.849998,48.849998,44.849998,46.900002,46.900002,270761
2018-11-04,47.000000,54.299999,46.200001,51.700001,51.700001,241096
2018-11-11,47.849998,51.500000,42.049999,43.200001,43.200001,285981
2018-11-18,42.400002,45.099998,39.349998,41.900002,41.900002,228875
2018-11-25,41.849998,48.500000,39.400002,47.950001,47.950001,485175
2018-12-02,50.000000,53.500000,46.799999,50.099998,50.099998,416287
2018-12-09,50.099998,50.200001,44.000000,47.000000,47.000000,324142
2018-12-16,47.000000,47.500000,39.950001,42.299999,42.299999,276239
2018-12-23,42.299999,43.150002,38.500000,40.599998,40.599998,55762
2018-12-30,40.599998,46.000000,40.599998,43.950001,43.950001,49288
2019-01-06,45.000000,45.000000,41.099998,42.900002,42.900002,166809
2019-01-13,41.599998,42.400002,39.549999,42.200001,42.200001,154348
2019-01-20,41.549999,43.400002,41.549999,42.750000,42.750000,58969
2019-01-27,43.000000,50.799999,42.500000,48.299999,48.299999,271815
2019-02-03,48.299999,49.000000,45.700001,47.000000,47.000000,71009
